"No.","Time","Source","Destination","Protocol","Length","Info"
"92","0.568043","Cisco_ea:55:40","Broadcast","802.11","313","Beacon frame, SN=1639, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"93","0.571463","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2907, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"94","0.580320","Cisco_ea:55:44","Broadcast","802.11","275","Beacon frame, SN=1640, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"95","0.591019","","","802.11","933","Unknown protocol version: 3"
"96","0.601469","Cisco_79:14:51","Broadcast","802.11","263","Beacon frame, SN=2869, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"97","0.610959","XiaomiCommun_d6:36:62","Cisco_ad:8c:a0","802.11","59","Authentication, SN=2289, FN=0, Flags=........C"
"98","0.611293","","Cisco_ad:8c:a0 (00:f6:63:ad:8c:a0) (RA)","802.11","39","Acknowledgement, Flags=........C"
"99","0.615776","XiaomiCommun_d6:36:62","Cisco_ad:8c:a0","802.11","218","Reassociation Request, SN=2290, FN=0, Flags=........C, SSID=""eduroam"""
"100","0.616877","","Cisco_ad:8c:a0 (00:f6:63:ad:8c:a0) (RA)","802.11","39","Acknowledgement, Flags=........C"
"101","0.620006","Cisco_ea:55:41","Broadcast","802.11","263","Beacon frame, SN=1641, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"102","0.621950","","Cisco_ad:8c:a0 (00:f6:63:ad:8c:a0) (RA)","802.11","39","Acknowledgement, Flags=........C"
"103","0.630345","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2908, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"104","0.631557","2a:fe:1b:77:42:c3","Broadcast","802.11","145","Probe Request, SN=2420, FN=0, Flags=........C, SSID=Wildcard (Broadcast)[Malformed Packet]"
"105","0.632093","Cisco_44:42:00","2a:fe:1b:77:42:c3","802.11","307","Probe Response, SN=809, FN=0, Flags=....R...C, BI=102, SSID=""eduroam"""
"106","0.632352","Cisco_44:42:04","2a:fe:1b:77:42:c3","802.11","269","Probe Response, SN=810, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"107","0.632639","Cisco_44:42:01","2a:fe:1b:77:42:c3","802.11","257","Probe Response, SN=811, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"108","0.632986","Cisco_44:42:01","2a:fe:1b:77:42:c3","802.11","257","Probe Response, SN=811, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"109","0.633177","Cisco_79:14:50","2a:fe:1b:77:42:c3","802.11","142","Probe Response, SN=3227, FN=0, Flags=....R...C, BI=102, SSID=""eduroam""[Malformed Packet]"
"110","0.633346","Cisco_44:42:01","2a:fe:1b:77:42:c3","802.11","257","Probe Response, SN=811, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"111","0.633696","Cisco_79:14:50","2a:fe:1b:77:42:c3","802.11","307","Probe Response, SN=3227, FN=0, Flags=....R...C, BI=102, SSID=""eduroam"""
"112","0.633972","Cisco_79:14:54","2a:fe:1b:77:42:c3","802.11","269","Probe Response, SN=3228, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"113","0.634012","","Cisco_79:14:54 (00:f6:63:79:14:54) (RA)","802.11","39","Acknowledgement, Flags=........C"
"114","0.634219","Cisco_79:14:51","2a:fe:1b:77:42:c3","802.11","257","Probe Response, SN=3229, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
"115","0.634283","","Cisco_79:14:51 (00:f6:63:79:14:51) (RA)","802.11","39","Acknowledgement, Flags=........C"
"116","0.635136","XiaomiCommun_d6:36:62","Cisco_ad:8c:a0","EAPOL","162","Key (Message 4 of 4)"
"117","0.636192","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2842, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"118","0.639056","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2909, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"119","0.639137","e5:fc:11:7a:82:38","e5:fc:11:7a:82:38 (e5:fc:11:7a:82:38) (SA)","802.11","178","PV1 Reserved"
"120","0.639204","","","802.11","142","Unknown protocol version: 3"
"121","0.648550","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2843, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"122","0.651815","2a:fe:1b:77:42:c3","Broadcast","802.11","129","Probe Request, SN=417, FN=0, Flags=........C, SSID=Wildcard (Broadcast)[Malformed Packet: length of contained item exceeds length of containing item]"
"123","0.652590","Cisco_79:14:50","2a:fe:1b:77:42:c3","802.11","214","Probe Response, SN=3230, FN=0, Flags=....R...C, BI=102, SSID=""eduroam""[Malformed Packet: length of contained item exceeds length of containing item]"
"124","0.652945","","Cisco_79:14:54 (00:f6:63:79:14:54) (RA)","802.11","39","Acknowledgement, Flags=........C"
"125","0.656119","XiaomiCommun_d6:36:62","IPv4mcast_16","802.11","142","QoS Data, SN=1, FN=0, Flags=.p.....TC"
"126","0.656544","","","802.11","198","Unknown protocol version: 3"
"127","0.656751","Cisco_79:14:50","Broadcast","802.11","313","Beacon frame, SN=2870, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"128","0.669068","Cisco_79:14:54","Broadcast","802.11","275","Beacon frame, SN=2871, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"129","0.670547","","","802.11","766","Unknown protocol version: 2"
"130","0.675955","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2910, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"131","0.684791","Cisco_ea:55:44","Broadcast","802.11","275","Beacon frame, SN=1643, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"132","0.685328","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2844, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"133","0.721606","Cisco_ea:55:41","Broadcast","802.11","263","Beacon frame, SN=1644, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"134","0.731219","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2911, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"135","0.740648","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2845, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"136","0.743508","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2912, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"137","0.752914","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2846, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"138","0.762360","Cisco_79:14:50","Broadcast","802.11","313","Beacon frame, SN=2873, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"139","0.773482","Cisco_79:14:54","Broadcast","802.11","275","Beacon frame, SN=2874, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"140","0.779510","Cisco_ea:55:40","Broadcast","802.11","313","Beacon frame, SN=1645, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"141","0.781110","Cisco_55:d9:91","Broadcast","802.11","263","Beacon frame, SN=2913, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"142","0.788994","","","802.11","474","Unknown protocol version: 2"
"143","0.791912","","","802.11","1353","Unknown protocol version: 3"
"144","0.792328","Cisco_44:42:01","Broadcast","802.11","263","Beacon frame, SN=2847, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"145","0.795519","","Cisco_ad:8c:a0 (00:f6:63:ad:8c:a0) (RA)","802.11","39","Acknowledgement, Flags=........C"
"146","0.796622","XiaomiCommun_d6:36:62","Cisco_ad:8c:a0","802.11","62","Action, SN=0, FN=0, Flags=........C, Dialog Token=1"
"147","0.799455","","Cisco_ad:8c:a0 (00:f6:63:ad:8c:a0) (RA)","802.11","39","Acknowledgement, Flags=........C"
"148","0.800200","XiaomiCommun_d6:36:62 (fc:19:99:d6:36:62) (TA)","Cisco_ad:8c:a0 (00:f6:63:ad:8c:a0) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"149","0.826815","Cisco_ea:55:41","Broadcast","802.11","263","Beacon frame, SN=1647, FN=0, Flags=........C, BI=102, SSID=""Guest"""
"150","0.835770","Cisco_55:d9:90","Broadcast","802.11","313","Beacon frame, SN=2914, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"151","0.845261","Cisco_44:42:00","Broadcast","802.11","313","Beacon frame, SN=2848, FN=0, Flags=........C, BI=102, SSID=""eduroam"""
"152","0.847900","Cisco_55:d9:94","Broadcast","802.11","275","Beacon frame, SN=2915, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"153","0.857452","Cisco_44:42:04","Broadcast","802.11","275","Beacon frame, SN=2849, FN=0, Flags=........C, BI=102, SSID=""UTguest"""
"154","0.869831","da:8b:1b:d7:96:06","da:8b:1b:d7:96:06 (da:8b:1b:d7:96:06) (SA)","802.11","254","PV1 QoS Data - with one SID"
"155","0.879431","Cisco_55:d9:90","d2:d8:cd:f1:a7:1a","802.11","307","Probe Response, SN=281, FN=0, Flags=....R...C, BI=102, SSID=""eduroam"""
"156","0.879796","Cisco_55:d9:90","d2:d8:cd:f1:a7:1a","802.11","307","Probe Response, SN=281, FN=0, Flags=....R...C, BI=102, SSID=""eduroam"""
"157","0.880177","Cisco_55:d9:94","d2:d8:cd:f1:a7:1a","802.11","269","Probe Response, SN=282, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"158","0.880518","Cisco_55:d9:94","d2:d8:cd:f1:a7:1a","802.11","269","Probe Response, SN=282, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"159","0.880902","Cisco_55:d9:94","d2:d8:cd:f1:a7:1a","802.11","269","Probe Response, SN=282, FN=0, Flags=....R...C, BI=102, SSID=""UTguest"""
"160","0.881260","Cisco_55:d9:91","d2:d8:cd:f1:a7:1a","802.11","257","Probe Response, SN=283, FN=0, Flags=....R...C, BI=102, SSID=""Guest"""
